0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ST. JOSEPH'S COLLEGE  - NEGOMBO BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Term Evaluation - 2025,,,,,,,,,,,   Grade,,11 S4,,Busket Subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,B1,,,,,B2,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,
No,Name,R/C   BU.,SINHALA,ENGLISH,MATHS,HISTORY,SCIENCE,BI (BS/Civics/Tamil),B2(A/D/EM/WM/Dr),B3(IT/HSc/HE),TOTAL,AVERAGE,POSITION,,BS,Civics,Tamil,Geography,,Art,Dancing,E Music,W Music,Drama,E Lit.,,ICT,HSc,Media,,,,,,,,,,,,,,,,,,,,,
1,Vojitha Kalhan,89,80,87,80,84,82,77,75,87,741,82.33333333333333,3,,77,,,,,,,,,,75,,87,,,,,,,,,,,,,,,,,,,,,,,
2,Rashith Oshen Fernando,85,65,79,46,63,61,72,86,70,627,69.66666666666667,11,,72,,,,,,,,,86,,,70,,,,,,,,,,,,,,,,,,,,,,,
3,Sithum Imesh Perera,86,60,78,79,55,58,79,66,75,636,70.66666666666667,9,,79,,,,,,,,,,66,,75,,,,,,,,,,,,,,,,,,,,,,,
4,Shewan Dilsara,66,51,85,40,43,55,48,88,65,541,60.111111111111114,20,,48,,,,,,,,88,,,,65,,,,,,,,,,,,,,,,,,,,,,,
5,Dilish Sasmitha Peries,47,31,75,35,34,37,54,30,47,390,43.333333333333336,33,,,,,54,,,,,,,30,,47,,,,,,,,,,,,,,,,,,,,,,,
6,Mihin Uthsara Fernando,76,44,76,64,56,59,53,59,77,564,62.666666666666664,16,,53,,,,,59,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,
7,Onel Matheesha Perera,52,42,74,61,44,51,63,69,70,526,58.44444444444444,23,,63,,,,,69,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,
8,Shevin Ashendra Perera,54,40,75,23,31,33,42,62,48,408,45.333333333333336,32,,42,,,,,,,,62,,,,48,,,,,,,,,,,,,,,,,,,,,,,
9,Deneth Hasaral,84,56,75,61,63,58,67,71,80,615,68.33333333333333,13,,67,,,,,71,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
10,Mesandu Thulnitha Perera,70,58,85,80,65,75,87,84,84,688,76.44444444444444,8,,87,,,,,,,,,,84,,84,,,,,,,,,,,,,,,,,,,,,,,
11,Dulitha Pulmeth Jayakody,32,36,80,46,34,46,35,50,67,426,47.333333333333336,31,,35,,,,,,,,,,50,,67,,,,,,,,,,,,,,,,,,,,,,,
12,Siyapath Chelaka Bineth Perera,95,70,79,82,71,75,89,84,83,728,80.88888888888889,5,,,,89,,,,,,,84,,,83,,,,,,,,,,,,,,,,,,,,,,,
13,Imeth Sajeewa Nanayakkara,83,42,85,65,65,75,57,80,73,625,69.44444444444444,12,,57,,,,,,,,,,80,,73,,,,,,,,,,,,,,,,,,,,,,,
14,Yenul Dulneth Bandara,73,48,79,46,40,57,60,55,63,521,57.888888888888886,25,,60,,,,,55,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,
15,Ruhiru Sathsara Fernando,75,55,73,51,37,35,72,56,45,499,55.44444444444444,28,,,,72,,,,,56,,,,,,45,,,,,,,,,,,,,,,,,,,,,,
16,Sadhish Ashera  Payoe,57,53,77,82,60,66,71,36,68,570,63.333333333333336,15,,71,,,,,,,,,,36,,68,,,,,,,,,,,,,,,,,,,,,,,
17,Roch Ashintha Perera,52,37,72,ab,42,ab,57,64,52,376,41.77777777777778,34,,,,,57,,,,,,,64,,,52,,,,,,,,,,,,,,,,,,,,,,
18,Akane Dewmina Peiris,56,55,75,56,53,54,46,65,58,518,57.55555555555556,26,,46,,,,,,,,65,,,,,58,,,,,,,,,,,,,,,,,,,,,,
19,Haritha Kaveen Perera,62,46,86,50,36,40,65,73,77,535,59.44444444444444,21,,65,,,,,,,,,,73,,77,,,,,,,,,,,,,,,,,,,,,,,
20,Thuhan Nethumira Dinujaya,50,46,73,37,44,33,60,55,61,459,51,30,,,,,60,,,,,,,55,,,,61,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Amaya Dulnara Perera,90,73,82,84,75,77,74,88,67,710,78.88888888888889,7,,74,,,,,,,,,,88,,67,,,,,,,,,,,,,,,,,,,,,,,
23,Yehara Shenoli Wijayathunga,ab,ab,ab,ab,ab,ab,ab,ab,ab,0,0,35,,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,,,,,,,,,,,,,,,,,,,,,
24,Nehara Dewshee Perera,71,52,74,50,54,47,52,72,79,551,61.22222222222222,19,,52,,,,,,,,,,72,,79,,,,,,,,,,,,,,,,,,,,,,,
25,Mahima Dewmini Gomes,72,63,76,75,43,49,45,72,62,557,61.888888888888886,17,,45,,,,,,72,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,
26,Isuri Sardha Dewduni Fernamdo,95,78,77,77,81,71,92,71,83,725,80.55555555555556,6,,,,92,,,71,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,
27,Anna Shenudi Areliya Lusena,71,58,91,70,58,62,64,82,58,614,68.22222222222223,14,,64,,,,,,,,,82,,,58,,,,,,,,,,,,,,,,,,,,,,,
28,Chamathka Dewduni Diwyanjani,83,59,80,64,55,60,82,88,63,634,70.44444444444444,10,,,,82,,,,,,,88,,,63,,,,,,,,,,,,,,,,,,,,,,,
29,Rashmi Tharuka Prabodini,91,70,86,91,85,85,78,82,79,747,83,2,,78,,,,,,,,,,82,,79,,,,,,,,,,,,,,,,,,,,,,,
30,Irushi Ranisha Hansi Perera,96,75,80,80,88,84,98,80,76,757,84.11111111111111,1,,,,98,,,80,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,
31,Theersha Anjalee Fonseka,91,41,75,65,69,ab,62,83,66,552,61.333333333333336,18,,62,,,,,,,,,83,,,66,,,,,,,,,,,,,,,,,,,,,,,
32,Shirodi Nuwangana,94,69,87,77,78,80,82,80,85,732,81.33333333333333,4,,,,82,,,,80,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,
33,Sandaru Adithya Fernando,64,50,78,36,36,28,49,80,50,471,52.333333333333336,29,,49,,,,,,80,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
34,Devumi Vihara Subasinghe,50,63,76,44,70,57,60,29,78,527,58.55555555555556,22,,,,,60,,,29,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,
35,Oshika Imandi Fernando,ab,ab,ab,ab,ab,ab,ab,ab,ab,0,0,35,,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,,,,,,,,,,,,,,,,,,,,,
36,Ayansa Dewmi Peiris,78,48,74,37,31,37,66,66,72,509,56.55555555555556,27,,,66,,,,66,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,
37,Amisha Nethali Fernando,80,55,65,56,46,45,82,51,45,525,58.333333333333336,24,,,,82,,,,51,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
